,CommentsStars,CommentsContent
0,5.0,first off  i absolutely hate cooking  i don t like the mess  it takes too much time  my recipes never turn out like they show in the cookbooks   and my cooking is pretty awful  i got the cosori air fryer a couple of weeks ago  and i ve been happily cooking every day  multiple times a day since   you just pull it out of the box  and it s ready to go  the detachable basket and pan are all that needed cleaning in soapy water before adding food  the buttons are self explanatory  you ve got a snowflake for frozen foods  fries for fries  bacon for bacon  and also preheat and keep warm   when i first turned it on  i wasn t sure what to expect  i wondered if it was going to get hot and scorch my counter  or me   i thought it would be noisy  it was none of those things  it does get a little warm on the outside but not hot like an oven  you do need to be careful when you re pulling the basket out or any food from inside the fryer because it s deceiving that it works so quickly and gets food that hot that fast  as for noise  you can hear the air moving  but i wouldn t call it noisy  my alexa is near the air fryer  and the alexa hears me just fine when i m talking while the air fryer is running  also  since my alexa is near the air fryer  you can tell that the air fryer doesn t get too hot or spit things at you or i wouldn t have the alexa there   the air fryer looks great on my counter too  it s already become a conversation piece in my kitchen  i had family over this weekend  and they wanted to know what it was  i put on a kitchen demo of sorts  and everyone stood around and watched  then ate all of the food  not a crumb left on the plates    and then they said they needed to get an air fryer too   so far  i ve tried recipes in the included recipe book as well as a recipe for chicken fried steak in an air fryer cookbook i purchased separately  what s great about the cookbook included in the cosori air fryer is that each recipe has a picture with it  and the ingredients aren t intimidating to those of you like me who don t care for cooking  most recipes call for ingredients you ve actually heard of and probably have in your pantry    a real plus for me because i also hate wandering around in a grocery store searching for a random ingredient i ll only use once   the very first recipe i tried was sweet potato fries in the included cosori cookbook  i like my fries a little crunchy  so i probably could have left them in the air fryer a few minutes longer than the recipe called for  but they were still delicious  definitely the best sweet potato fries i ve ever had   for fun  i then threw in some frozen okra i had bought in the freezer section  i bought a water bottle and filled it with olive oil  so all i did was lightly squirt the olive oil on the okra while in the air fryer basket and then just pushed the snowflake button  the okra came out so crunchy  just the way i like it  and i couldn t believe it had gone from frozen to crispy crunchy in just a matter of minutes  most of them were golden brown  but i could tell the ones that i had missed when i sprayed the okra with the olive oil  those were white    still crunchy and tasted fine  but a weird looking white  i ve since bought a pressurized oil sprayer can that s specifically for spraying olive oil  and it works much better at spraying everything evenly than my plastic water bottle   same night and onto my third recipe  chicken fried steak  now  this recipe wasn t in the incuded cosori cookbook  this particular cookbook didn t have a picture  so i wasn t at all sure how it would turn out  it s so good  i ve cooked it twice in three nights   that night s entire meal was cooked in the air fryer  sweet potato fries  frozen turned air fried okra  and chicken fried steak  it felt like an elaborate meal with hardly any time invested  and my kitchen wasn t a disaster after cooking all of that  i only had a few plates and a couple of bowls that i d used instead of pots and pans and baking dishes all piled up on my counter with a greasy stove to clean   the next day  i tried the mozzarella cheese sticks in the included cosori cookbook  i totally botched this recipe  using baking soda instead of cornstarch  did i mention how bad i am at cooking  even so  the mozzarella sticks worked out okay  but not great  which was likely my own fault   they crisped up nicely and quickly  they just didn t look a thing like the picture in the recipe book  i would have also liked the cheese to be more melted on the inside  it seemed like the outside was really crispy and the inside wasn t really melted  this could all be because of my using the wrong ingredient  so i ll give it another shot because  even with the wrong ingredient  they weren t bad  they didn t taste like mozzarella cheese sticks  but they were still good   for dinner  i cooked the kids grilled cheese sandwiches also using the included cookbook  these didn t turn out as expected  at least i used the right ingredients this time  but the cheese wasn t gooey like it would be if you cooked it on the stove  if i had doubled the amount of cheese the recipe called for it would probably be perfect  the bread was golden brown  though  it was a bit of a pain to have to melt butter on the stove  then brush it onto the bread  then grate cheese before putting it into the air fryer  i can get a grilled cheese sandwich in a pan quicker than that  but it was still fun to try  i ll try the recipe again with more cheese  i think it s a recipe i can tinker with to make perfect   i then tried the pizza from the cosori recipe book  i didn t use pizza dough  i prefer pita bread  i followed the instructions as if it was pizza dough  which means you preheat the air fryer  brush your crust with olive oil  and then put it in the air fryer at     for five minutes  then you take it out to add toppings  on mine  i put pizza sauce  pepperoni  mozzarella  and parmesan  pop it back into the air fryer for another five minutes at      and it s done  it was so good  i ll be making another for lunch  the only downside was having to cook one at a time because i couldn t fit two pieces of pita bread in the basket together   my most recent recipe to try is the coconut shrimp  which is also in the cookbook that comes with the air fryer  what would normally be a giant mess of the kitchen was only three bowls to dredge the coconut shrimp and then a plate to put them on  you preheat the air fryer while you re getting everything ready  and then pop the shrimp in for eight minutes  they were very tasty  but i ll add more coconut in my dredge next time than the recipe calls for  the recipe was good  but i couldn t really taste the coconut   i keep picking out new recipes to try in the cookbook  which is a first for me with my loathe of cooking  i ve included pictures of the country fried steak  pizza  grilled cheese  mozzarella sticks  and coconut shrimp that i ve made so far   even owning the     quart  you have to get used to cooking in batches  i wanted to make four chicken fried steaks that first night  but there was only room for two  not a big deal  you just have to cook in batches  making three pita bread pizzas  i just had to make each one separately since i could only fit one round piece of pita in at a time  for the grilled cheese sandwiches  two actually fit into the air fryer at the same time   like i said before  the cookbook that comes with the air fryer is full of pictures  it also has more than     pages of recipes  for example  you ll find recipes for strawberry cream scones  stuffed french toast  bbq bacon  ribeye  meatballs  fried chicken  crab cakes  wings  pigs in a blanket  french fries  onion rings  roasted corn  cheddar buttermilk biscuits  cinnamon rolls  pound cake  and orange cranberry muffins  i would be lost without the cookbook  it also tells you exactly which button to push on the air fryer too  so you re learning about how to use your air fryer while you re actually cooking instead of having to read an instruction manual cover to cover before you even have enough confidence to cook something   i mentioned not having many dishes to clean after using the air fryer  what i love most about cleanup is how easy the air fryer itself is to clean  everything just slides off of it  i m barely scrubbing it  and it s clean  i know the description says it s dishwasher safe  but i just wash it in the sink because there s nothing ever dried on and stuck to it  i love how i can put a little soap on it  and it s clean and ready for my next recipe  the water beads on it  so it dries really fast   the only negative about the air fryer is probably my own impatience with one of the controls  the temp time is shared by one button  if you have a recipe that calls for you to adjust the temp and or time  you have to toggle the button  it starts with temp  so if you need to change how long to keep something in  you hit the temp time button again  somehow  i keep managing to hit time when i mean temp and vice versa   also  the air fryer cuts off when you pull the basket out  just as it should so it s not running while there s nothing in the bottom  when you pop the basket back in  it defaults back to the original temp and time settings when you turn it on  not what you last had on there  it would be nice if it remembered what your setting was   minutes before  for example  the other night when i had to make the pizzas in batches  i had to run the air fryer   minutes for one crust  then five minutes for the next  and so on  every time  i had to reset the time and temp when i pulled a crust out  that s when i began noticing how bad i was at toggling the temp time button i mentioned above   both the time temp button being shared and the air fryer not remembering your last time temp are extremely minor downsides  but they re the only negatives i could think of because this air fryer has quickly become my favorite kitchen appliance   i have never had any experience with an air fryer  so i have nothing to compare the cosori air fryer against  but i did my research  read the reviews  watched videos  and crossed my fingers that i was buying the right one  i couldn t have made a better choice  i m actually excited to cook for the first time ever  tomorrow on the breakfast menu  french toast sticks 
1,1.0,                       air fryer works  one major complaint is the basket   drawer leaks steams as it cooks which leaves puddles on whatever surface you have the air fryer  if you press lightly on the basket   drawer the steam stops leaking out which means either the product wasn t designed well or manufacturing tolerances are poor  even though it works  i wouldn t recommend as the mess it makes it just too annoying to keep cleaning up after every use    updated            after cosori support saying that leaking steam from the basket is normal  i am reducing my overall rating to   star as this product is clearly made cheaply   poorly designed  definitely do not recommend buying from this manufacture and go with a competitor s product that doesn t leak steam and make a mess on your countertop      
2,1.0,                       after hearing rave reviews from family and friends about using air fryers i thought it would be a good solution for preparing meals for one that didn t take long to prepare  made for easy cleanup  used less energy and would allow me to have a variety of delicious meals  unfortunately my experience with the cosori air fryer has been nothing but disappointing  i ve used it to cook steak which took much longer to cook than the literature suggested and it didn t brown up at all  i ve tried cooking french fries using raw potatoes and after nearly    minutes at     degrees i had limp fries that i wasn t interested in eating  i ve tried frozen french fries that i even sprayed lightly with canola oil hoping to help crisp them up  and again ended up with limp fries after nearly    minutes  i don t know if the fan isn t working or what the problem is but i m not at all happy with this product      
3,5.0,                       i chose this particular air fryer over hundreds offered on amazon   features that were the most important to me were the number of presets  counting defrost         the warranty    yr   cosori accessories  and ease of use   it is easy to clean in the dishwasher  and the preset settings mean that i don t have to calculate time or temperature  but it s also easy to add time or subtract it if you need to  the night i received my air fryer  i made the most amazing steaks that were so tender and moist inside   since then  i have made cornish hens  bbq ribs  blueberry muffins  tater tots  and many other dishes  the fryer is not heavy and it is not loud when in use   do yourself a favor and buy this      
4,5.0,                       my wife and i purchased the air fryer and received it sunday   so far we have only used it twice   but so far it is great   we cooked crab cakes last night with some tater tots and biscuits this morning for breakfast   really easy to use and easy to clean   so far we both love it updatewe have had it a few weeks now and continue to enjoy it   we did buy some accessories that work  but i wish that there were some designed specifically for the     qt air fryer   these were made for both which means they are really too small to take advantage of the     qt volume   they only  kind of  work we still love the fryer   that is why i did not change the star rating   but i really would like to see some specific accessories designed for the increased volume of this fryer      
5,5.0,                       this air fryer is awesome  i need a large basket for walleye and this is the largest i could find    x     which was a selling point  however  there are so many benefits  the programmed options  the ease of cleaning  the safety button on the basket  the price  just to name a few  i ve only had it a few days and i ve already made a home for it on my counter and replaced my smaller  less versatile phillip s air fryer with this dynamo  i ll keep the other one for things like fries or potatoes  while using this one for the main items   i haven t looked at the recipe book but i m going to do so soon  one more thing  i shop on amazon very often and this is one of the few reviews i feel compelled to write      
6,5.0,                       purchase this air fryer  i did all the research for you  i spent   days researching air fryers pouring over hundreds of reviews  specs and videos very convenient  i purchased for my     year old mother s birthday on august           although mom was a great cook  she no longer enjoys the hassle of cooking now  but this cosori air fryer has reunited her joy for cooking  she enjoys trying the many recipes included with the device as well as going on google to find new recipes chicken thighs and hicken wings are big hit  i actually prefer the wings from the air fryer than any restaurant wings  even shrimp came out great  i worried the texture of vegetables such as squash and zucchini would not do well but i was wrong  the vegetables were great as well the preset cooking settings make cooking super simple  the shake alarm is really helpful because it s important to turn food to prevent burning and insure even cooking i highly recommend this new model of the cosori air fryer  it s basket is relatively larger than others in same price range so you can cook more at same time  also it has a smart wifi feature which allows you to control the device with your phone      
7,5.0,                       i ve had this about a week  i ve made cake  sweet potato fries   wings and chicken thighs  i love how amazingly crisp and juicy everything is  the presets are extremely accurate and is a great size for   good size thighs or    wings      
8,5.0,                       i love this air fryer   i use it to make hamburgers  chicken wings  sausages  bacon  to cook vegetables  and to reheat already cooked foods  i do  a lot of grilling in the summer but i don t like cooking meat indoors because of the smoke and grease that gets everywhere   this air fryer does not smoke and grease does not escape   everything i have made so far has come out very well cooked and delicious   it s also very fast   i have no complaints so far and i m very glad i got this air fryer      
9,1.0,              your browser does not support html  video                          i ordered the wifi model and ended up having to use the wifi only on my phone to get this device started  the push buttons on the front of this device are unresponsive and really  just complete garbage  the buttons seem to be touch capacitive  maybe  for being easily cleanable  or maybe there are real buttons behind the panel   i really don t know  all in all  but they just don t work consistently  if at all   i am going to send this heaping pile of trash back for something that works  i don t even know how this made it past their internal quality assurance and i don t know why amazon rated this device so high for customers to purchase  i trusted that this would be good  but i was wrong  i won t be trusting amazon ratings in the future      
