,CommentsStars,CommentsContent
10,5.0,                       i love how easy it is to use and the fact that i use it on a daily basis whether i m making the kids cheese fries for a snack  potato skins  meatballs  potatoes chicken fingers  etc  i m still finding new things to cook  the only con is i had to reconfigure some of my own personal recipes to make sure chicken or hamburger meat doesnt get dried out  i still love it   best money i ve ever spent on a counter appliance   it definitely has plenty of room for a family of    i made   good size stuffed chicken breast at one time  i can make    med  large meatballs at one time just to give you a general idea of how big and deep it is  buy it you wont regret it      
11,5.0,                       this air fryer is amazing and i bet this would be my best purchase on amazon in       i ve watched air fryer for a long time and hadn t decided until noticed this one  most air fryers can only work manually to set up time and temperature  which is not suitable for me  i m always trying to make my kitchen smarter and this wireless connected air fryer would be the best choice for me  i can prepare meat or veggies in ahead and just put it in the air fryer  i only need to open the air fryer on my way home  everything is super easy and the receipt book really helps to prepare notes for cleaning issues  put aluminum foil and get rid of washing it      
12,5.0,                       we loved how the product worked the first two times we used it but it stopped working after we preheated it to cook with it our third time  after only having it a week we had friends over  tried to cook wings and the air fryer stopped working after a few minutes  it acted as if the timer went off and it completed the cooking process and would not restart  after troubleshooting it would turn on and immediately turn off  we even tried waiting a day and re try it but it did the same thing  product is being returned and replaced so hopefully it will work next time around    update   we received our replacement quickly and absolutely love this airfryer  it does seem to cook a couple of minutes quicker than the recommended times for air fryers which is nice  it s been a few months and we haven t had any problems with it      
13,5.0,                       i ordered this a week ago after looking and reading tons of different reviews about air fryers  asking what friends thought about theirs and what kind they had on fb  and even signed up for consumer reports to find the  very best one   i have a      house and anything that is going to  take up space  has to earn its spot  while doing all of this research i still didn t like the egg shape of the other air fryers    then pops up this beautiful cosori   after reading all the reviews and showing my husband we were sold   i received it last thursday and have used it everyday since  it cooks perfectly  noise level is low  and is it gorgeous on my countertop  i m a person that doesn t like anything sitting out  but i love walking into my kitchen and seeing it  i am also not a person that leaves reviews and here i am leaving my first review  i would definitely buy this again and have already started tell all my friends and some strangers about this beauty  i wish i would have known about cosori before i bought my instant pot  thank you cosori for a well made  and thinking out of the box  or egg  design      
14,1.0,                       we have used this item several times and  as yet  have not had one item come out crispy and not burned  seems like by the time the fries are done and crispy  the ends are burned  am going to try just a little longer with other foods and if i m not satisfied not sure what i will do other than send it back to amazon  even if i don t get a refund   very disappointed         
15,1.0,                       i set up the cosori air fryer as instructed and placed it on the counter with plenty of ventilation for all sides  initially the unit worked as described  after about a month  the unit started to shut down intermittently  i thought it was because it was getting hot  i was confused as to  why it would perform this way  i plugged it into different outlets to see if that would resolve the issue  this did not  finally  it died  it was used less than a dozen times during a three month period i called amazon to initiate a return  the rep issued a return label less the cost of shipping  which reduced the refund by about      i asked why as the unit was clearly defective  the rep said that it was because it was after the    day return window  i said that the defect did not manifest until after a month  and that there was no way to know that it would be defective before then  i asked to speak with a manager  who basically repeated the same policy  the manager did offer to give me the contact information of the manufacturer  she made clear that they would not issue a refund  but would likely reissue another unit  i had lost confidence in the unit given how quickly it puttered out  the manager stated that the refund less the shipping was all that could be done left with two options  a  refund less shipping or b  risk another defective unit and another return scenario  i opted for the first option  i was  nevertheless  deeply disappointed and frustrated that amazon came short on rectifying the situation  to be clear  i do not blame the rep or the manager  they were friendly and professional  they seemed limited to the policy the policy is at issue  this is an electronic unit with electronic complexities  customers of such units would be better served with longer return windows than    days  or whatever the scientific average is for electronic units to manifest defects amazon  if you are reading this  please consider variable return windows given unit complexities categories  perhaps  algorithms can figure out reasonable expectations      
16,4.0,                       i received this air fryer a few months ago as my wife wanted one   she has tried a lot of ones on here but she always found fault with either them being too small or not powerful enough  she noticed many of them had baskets that the non stick flaked off just after a few uses so she has informed me that this one has a great coating  i think it may be ceramic but anyway she says it is a breeze to clean she thought it was making weird noises so she contacted customer support and within a few hours she had a response  they asked her to video tape the unit in operation and once reviewing the video they got right back to her and said it was normal so we know they stand behind their products my wife uses it every day making bacon  sausage and home fries for breakfast and many scrumptious meals we get the frozen battered haddock fillets so on fridays we make our fish fry and it cooks in half the time of the oven she made bacon wrapped pork tenderloin and bacon wrapped fillet mignon and they came out crispy on the outside and juicy inside i have posted a picture of our last nights dinner  she put a dry rub on the wings and cooked with fries and they too came out crispy and juicy and the fries were nice and crunchy but fluffy inside i am so glad she kept trying fryers til she got the one that is the best available i really do recommend purchasing this air fryer   they do have a smaller version but we find this size is good especially if we get company great air fryer       
17,3.0,                       this is the second air fryer i have purchase  other manuf  did not work so order this one   the clear button should be removed and redone by cosori   t fal has a better way to separate pan   think how this is manuf  could be a lot better am sure it will break sometime soon the way it is made   also the pictures show bread and cakes able to be baked  yet not recipes are in enclosed recipe book or are any on their website   nor have i found on any air fryer cookbooks for sale      
18,1.0,                       my mom had wanted an air fryer for her birthday so i got her one   good reviews convinced me to go with this one   big mistake after getting it setup and getting familiar with the controls  we preheated it and decided to make some fries about half way through  after we had shaked them and the heating resumed  it suddenly shut off   the lights simply wouldn t come on  no matter what we did   the basket was in fine  the outlet worked  no power issues  there was no explanation   we waited a bit and tried again  but no luck   the lights never came back on i returned it  after it failed to even cook a single small basket of fries   this wasn t just a broken air fryer   it was a major disappointment for everyone celebrating her birthday      
19,1.0,                       the product is a total piece of trash  the first time did not turn on  after about   minutes it did  and worked   the second time barely made it for five minutes  and the third   the third never did worked  total waste of money      
20,5.0,                       i have used this every day since getting it the    presets are convenient in automatically setting temperatures and times to cook food crisply and evenly  i have made fried chicken  fries  steak  vegetables and more in this handy machine  for all kinds of meals the non stick basket is easy to clean  as all the oil and excess water drips to the bottom basket  you can cook your proteins  then sides without using multiple pans or watching over the time like you would with a stovetop  you can even defrost i chose this model as there is an app with recipes for inspiration  and also a way to start cooking from your phone  and get notified on when to shake or flip halfway it also looks modern in my kitchen and makes a nice futuristic humming sound to boot      
21,1.0,                       opened box on saturday night     added apple pies sunda morning    mins        and after   mins it quite and will not turn back on i m very upset with the price i paid and the other reviews      
22,5.0,                       first of all i want to say that this is a very nice air fryer  it is well done and works great i also want to make my compliments to the customer service  really top  i wrote an email this morning asking for support because i could not connect my mobile with the air fryer and they solved in the same day i take my dusty hat off ps problem was that it is necessary to turn off mobile data before proceeding  solved  thanks      
23,1.0,                       i received the fryer on monday used it   times and it broke on friday of the same week   went off while cooking and nothing seems to make it come back on   it was fun while it lasted  also the support website listed just goes to a     error page  at least i can still return it to amazon      
24,5.0,                       this size is good the basket can be detachable  so it is easy to clean i have made chicken thighs  sweet potato fries  and i want to try more recipes i love this air fryer      
25,1.0,                       i bought this for my husband s birthday  he follows the keto diet and i thought this would be great for him  we followed the setup instructions  he preheated the air fryer and put in a layer of chicken wings  halfway through  he pulled the basket out  flipped the wings and put the basket back in  it started cooking again for about    seconds and completely shut off  it wouldn t turn back on at all  we tried another appliance in that outlet to make sure we didn t blow a fuse  the outlet is working fine  my husband plugged the air fryer back in a few minutes later  it turned on and immediately off  this is getting returned      
26,5.0,                       took forever and did lots of research online  couldn t find on without negative feedback to took a chance on this one  i love it    i use it for everything  i made a cake in it   use a little cake pan it rises like crazy   i made scrambled eggs  when you put in a pan of course  and all kinds of frying  our favorite is when i make chicken or beef in that montreal rub  first  and make a batch of frozen vegetables after and tilt the pan so the meat juices cover the vegetables  wow so good  cooks food in no time  use it daily  one of my favorite purchases on amazon         now a word of advice  something i wish i knew before hand  don t shake the basket with the base on       it has a nonstick surface  not a smash proof  surface  when you shake your food  the basket taps the inside base and now i have a scratch on the inside base  so  just disconnect the basket then shake  then your solid  i got the white     and its great for a family of three  super easy clean up  i wash mine by hand  really really enjoying my fryer             
27,1.0,                       i was so excited to receive my airfryer     after over   hours of heating it the plastic smell seemed to go away    tried to cook a chicken in it    burnt    ok tried fries on the fry setting    burnt   not happy i returned     
28,5.0,                       i have shopped around air fryer for quite some time  i bought crux     exclusive for macy but i had to return it due to the quality  size concern  eventually going back to my favorite pressure cooker brand cosori and i found this widget  a bit bigger than i used to have  voltage is my main concern  but it square out when i actually used it  fried chickens received compliments from my wife and daughter  easy to use  touch screen  sleek design and etc  a bit pricey but you pay for it for your family safety and food presentation     now i know why people give   stars to this widget    i measure the basket for you guys      x       good size for anything  no electric issue    well done cosori team      
29,5.0,                       broke after   months the inside melted so handle doesn t close  must say  customer service was amazing   just received a brand new one after they saw my review very happy   i use it all the time was just upset that it broke but they reimbursed me and sent me a new one and i m more than happy       
30,5.0,                       i found the fryer of my dreams    is that even a thing  okay    maybe not     i own a smaller air fryer and love it to pieces and was looking for a larger model     i bought a different one before this one and it was a nightmare     so i looked up some more info on air fryers and came across this cosori model  bought it and have loved it since i took it out of the box  soooo easy to use and soooo easy to clean too  i ve cooked   lbs  of chicken wings in it since i got it  italian sausages  hamburgers  fresh french fries  cornish hens  biscuits  eggs  stuffed mushrooms  pizza  tater tots  fish  i can go on    i really use this machine a lot    in fact  i use this and my other fryer when making meals for my family    quick and easy to do  i haven t had any issues with it    it turns on easily  cooks quickly  and clean up is a breeze    my disabled husband who only has use of one hand can use it easily as well    he even cleans it without a problem    one of the best investments i ever made in a kitchen appliance      
31,1.0,                       please do not buy this product  i purchased it in june and absolutely loved it  recommended it to friends and loved trying new things in it  today i had it on preheat to warm up some pizza for my son and we heard a weird sound and then saw a spark from underneath it  luckily  we were both in the kitchen and saw it happen  i quickly unplugged it and my son said that he saw a flame from underneath  i turned it over and sure enough there was a flame and a burn mark on my counter  i was able to put it out  but it was a very scary moment for the both of us  amazon was amazing and gave me a full refund even though i was way past my return window  please be cautious it you have this product  don t leave the room while using it  it could have caused a lot of damage if i wasn t right there  i am now in search of a new air fryer because it was something i used frequently  i will be contacting the company also as soon as i get their information      
32,5.0,                       actually received the air fryer the day after it was ordered prior to cooking  i ran the fryer on a preheat cycle of     deg  f for   minutes to eliminate any possible manufacturing electrical residue   there was somewhat of an electrical smell with this process  but that has been normal with other kitchen electrics i own    some manuals will even direct you to run the appliance a few minutes to let it  cure in   and to expect an electrical odor    the odor dissipates and isn t an ongoing issue after curing started off with cooking tests of   inexpensive items   meat  potatoes and bread   i didn t use fresh items for the testing  but chose frozen sausage patties  frozen  cubed  hash browns  and canned biscuits   i made certain to preheat the fryer for every item at the cooking temperature being used   the results were impressive for the sausage patties  the fryer was preheated at     deg  f for   minutes then cooked at     deg  f   cook time was    minutes and patties were flipped over at   minutes   the finished patties were tender and moist  just slightly browned around the edges  but not at all burnt or hard   wonderful result    quite a bit of time saved over skillet cooked patties which i usually cook low and slow to keep them tender and avoid hardness burning  the fryer was cooled and preheated again at     deg  f   the frozen cubed potatoes were lightly spritzed with evoo  and cooked at     deg  f for   minutes   with   minutes remaining  the potatoes were tossed well  seasoned with salt and pepper and lightly spritzed again    the potatoes weren t seasoned initially because i wanted to clearly see how well the fryer was browning them    the end result was light brown crusty edges and tender centers   perfect   better than oven roasted saving the canned biscuits for last   i really thought this would be the challenge and was prepared for a re do    i haven t been very successful in the past with canned biscuits in the gowise turbo air fryer    i set the fryer to preheat at     deg  f for   minutes and used the time to lightly butter both sides of the   biscuits the biscuits cooked almost   minutes on     deg  f   at   minutes remaining  i pulled the basket out and checked them with the intent of flipping them over   but i decided to wait and see what the end result if they weren t flipped   i was very surprised to see the end result were biscuits that looked as if they had been cooked in a conventional oven   i literally could see no difference   they rose perfectly  browned without burning and even had a light brown crust on bottom   so there would have been no need to flip them at all    another time saver and great looking biscuits   let me tell you i was happy  keep in mind these tests weren t even run with fresh foods   so i can imagine how great fresh chicken  wings  ribs  steak  fresh seasonal vegetables and homemade breads will be   there may be occasional tweeks with with temps and time  but from what i have seen thus far  this fryer will produce very good results if proper temp  time and techniques are used    and barring any unforeseen errors and issues with the unit of course  almost forgot to mention the keep warm feature is going to be a real help to me since hubby s work hours aren t stable    then there s that gorgeous cookbook that came with the fryer i need to cook through    registered right away to capture the extra year warranty p s    i also have the cosori multicooker which is a stellar performer   it has bake  boil  roast  steam  slow cook    levels   low med high    saute  simmer  brown  yogurt  rice functions and also manual programmable temperature and time input    you can also sterilize items with the boil function    fantastic appliance      
33,5.0,                       this item works well overall and i have had zero serious issues with it   it seems well built and i think that most of the reviewerss that mention the basket attachment point melting on their first use screwed up and didn t put the basket latching mechanism together correctly before running the machine that way   that is technically a product design flaw that requires a modicum of caution for inexperienced users   if the basket is sitting loose in the tray  it s not in there correctly and you will screw your machine up   i have used mine at the highest temp setting for quite some time  i tend to run it hot because i like my food extra done    my basket attachment point has not had a single issue thus far and i expect it to hold up nicely as time wears on   i know a little bit about plastics as a  d printing enthusiast and this stuff seems built to hold up well enough to me unless you screw up putting the basket in the tray in use  the machine works really well overall   it fries things with very little oil needed  but if you want the same texture as actual deep fried foods  you sometimes have to add a little extra oil if something has to cook for a while   preheating is absolutely necessary unless you like very badly fried food   some foods don t react like you think they would to the massive amount of air circulation and you get kind of a staleness or dryness   others like the broccoli and cheese veggie tots were amazing right out of the gate when properly cooked  best i have ever made    bacon in this thing is just incredible and so easy to make   it shrinks up like mad  but it s all perfectly cooked with very little effort   going to try my hand at country ham this weekend   spam needs a low cook temp      or lower  to not flood your house with smoke  the fat in spam has a low smoke point    this thing is amazing at continuing the cooking process for lightly fried potato chips and tortilla chips   no need to pay more for expensove dark russet potato chips from a major brand   this cooker makes the cheap chips sing cleans easy   the software design is not the best and requires a tad more button pressing than it should to use  but it s a minor complaint   you can t press the buttons rapidly as they won t take input very quickly   i wish the temp could go about    degrees higher overall  but it works pretty well regardless and it s far less messy than an actual grease deep fryer and uses less oil      
34,5.0,                       excellent product   i have been exploring healthy cooking now i have a toddler   this air fryer allows me to prepare delicious fried food to my family without the excessive amount of fat and calories that traditionally come with deep frying   the fryer is super easy to set up  use  and clean   food came out so much better than expected and i definitely recommend it as a better alternative to deep fryers   i have a lot of kitchen appliances but i already see myself using this on a frequent basis      
35,5.0,                       i love  love  love this air fryer  i literally use it everyday  i researched several before taking the leap and purchasing this one and i m so glad i did  large square basket that feeds atleast a family of    the preset buttons cook spot on  so far  i have tried the fried chicken from the recipe book and my family said it was delicious  nice and crispy  i temped the chicken and it was where it should be  i have always been nervous about cooking chicken on the bone  but not anymore  being able to preheat the fryer makes cooking even faster  which i love  i m on an eat clean low carb diet so i cook every meal in it  when i m cooking my food i normally just keep it at the     degrees    minute temp time because it cooks so fast  it has a shake reminder  which i find very handy  roasted mushrooms  zoodles  jalape os  i couldn t even name all that i cook in there but it s very convenient and everything tastes great  it even crisps up frozen eggplant slices i have vacuum sealed in the freezer  chicken slices coated in almond or coconut four come out crisp  when you register your fryer you get an extra   year warranty so a total of   years cosori will stand behind their product  the recipe book has tons of recipes with pictures that i can t wait to tweak and make them where i can eat them  or i could just make them how the book says and feed the others in my family    very detailed instruction booklet and quick reference guide included  oh  and all the buttons on the touch panel are easy touch so you don t have to worry about holding down a button or trying to get it to set right when you re in the middle of cooking  i can go on and on about how much i love this thing  but i would probably put people to sleep   i highly recommend      
36,4.0,                       we have owned the appliance for a little over week now and used it almost every day in some fashion   it cleans up very well and haven t had anything really difficult to remove yet that a few minutes soaking didn t resolve   chicken fries  stromboli and french fries came out much better than just oven baking   it preheats faster than the toaster oven and cooks in less time one quirk we don t like that it doesn t remember last temperature   time used   also  when shaking  sometimes it forgets the current settings causing you to have to input them again the larger model is very tall   we had problems storing it in the island cabinets   had to make room under the kitchen sink for storage beware that the max warranty for this item is two years   we thought that you received a two year warranty  and then by registering on their site we would receive another year   that is not the case   you get one year warranty at purchase and another year if you register on their site   i confirmed this by contacting warranty support in conclusion  we really like the air fryer   we think it will be great on camping trips where you can cook food outside the rv and having that extra heat stay outside on a hot  summer day edit   fast forward   monthsstill working great and we have used it on our rv trips   the large size works well for a family of        
37,5.0,                       overall this product is a great addition to any kitchen and amazing at adding a unique flavor to your food  unless you re deep frying now  i wouldn t say this is  healthier   i don t add oil to my food unless i m cooking in here so this is still our not so healthy meal cleaning cleaning this is horrid    i despise it  it is dishwasher safe but if i hand wash the basket every scrubby i have gets caught on the air ventilation holes foods it s excellent for frozen freezer veggies  reheating food etc being a bigger basket does not mean you can put piles of chicken in it  it won t crisp  so it s not necessarily faster if you re making a ton of food overall i do like it and use it maybe twice a month  it s also fun to offer guests delicious home fried food      
38,2.0,                       did not work right out of the box  it would not shut off when you removed the tray you had to hit pause to shut it off  it s so much trouble to return i worked on the part that worked the switch and with a little modification i made it work  just shows you thing are not tested before boxed  i m very disappointed that i had to work on it to make it work right  and you can t go by the recipes  if you do you will burn everything  so play with it to find the right temp  and time  i ll keep working on it       
39,1.0,                       i just bought it last month    we might use once or twice a week     key pad it s not easy you press and nothing happens you have to keep pressing in order to hopefully set the temp and time    if it wasn t for the keypad all would it be great     
40,5.0,                       best purchase i ve made all year  it s quick and easy to make a meal  i made chicken wings with no breading and they came outcrunchy and delicious      
